"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"API","2023-10-19","170.9","174.9","166.4","171.9","-0.64 %","54,796.00"
"API","2023-10-18","174","175","171.3","173","0.46 %","44,470.00"
"API","2023-10-17","168","174.6","168","172.2","2.81 %","42,181.00"
"API","2023-10-16","168.5","172","166","167.5","-2.05 %","73,028.00"
"API","2023-10-12","170.1","176","169","171","-1.04 %","54,984.00"
"API","2023-10-11","175","175","171","172.8","-0.06 %","48,813.00"
"API","2023-10-10","172","175","172","172.9","-0.97 %","35,819.00"
"API","2023-10-09","176","178.5","174","174.6","-1.47 %","72,129.00"
"API","2023-10-08","182.3","186.1","177","177.2","-4.73 %","71,156.00"
"API","2023-10-05","186","189.7","184.3","186","-1.06 %","37,189.00"
"API","2023-10-04","186","193","185.1","188","1.08 %","42,642.00"
"API","2023-10-03","188.2","190","185.2","186","-3.07 %","30,334.00"
"API","2023-10-02","189","192","184","191.9","2.62 %","76,451.00"
"API","2023-10-01","190.2","192","186.1","187","-3.61 %","91,820.00"
"API","2023-09-27","198.3","198.3","189","194","-0.26 %","145,578.00"
"API","2023-09-26","191","200","191","194.5","3.35 %","238,341.00"
"API","2023-09-25","185.1","194.2","185.1","188.2","-0.32 %","65,421.00"
"API","2023-09-24","195","200.1","186","188.8","-3.18 %","181,111.00"
"API","2023-09-21","189","200","189","195","4.28 %","264,719.00"
"API","2023-09-19","177","188.7","174","187","5.65 %","115,914.00"
"API","2023-09-18","175","178.7","173","177","1.03 %","49,623.00"
"API","2023-09-17","181.5","181.5","174.4","175.2","-3.47 %","81,090.00"
"API","2023-09-13","169","181.5","167.5","181.5","8.29 %","105,729.00"
"API","2023-09-12","170.9","171.9","167.5","167.6","-0.83 %","33,054.00"
"API","2023-09-11","169","169.3","165","169","1.26 %","64,889.00"
"API","2023-09-10","167","171.9","165","166.9","0.97 %","46,883.00"
"API","2023-09-07","165.2","167","165.2","165.3","-0.96 %","57,270.00"
"API","2023-09-05","168","169","166","166.9","-0.65 %","27,204.00"
"API","2023-09-04","170","171","166.8","168","0.00 %","37,910.00"
"API","2023-09-03","173","173","167.2","168","-1.75 %","53,364.00"
"API","2023-08-30","172","172","168","171","0.59 %","85,688.00"
"API","2023-08-29","173","174.4","169.5","170","-0.58 %","76,199.00"
"API","2023-08-28","170.1","177","170","171","-0.58 %","98,801.00"
"API","2023-08-27","178","178","171.2","172","-2.55 %","118,813.00"
"API","2023-08-24","182","183","175","176.5","-2.49 %","63,019.00"
"API","2023-08-23","175.2","183.5","174","181","2.72 %","88,445.00"
"API","2023-08-22","171.5","178","170.1","176.2","3.04 %","66,079.00"
"API","2023-08-21","175.5","175.5","171","171","-1.72 %","48,085.00"
"API","2023-08-20","178","180","173","174","-2.25 %","67,021.00"
"API","2023-08-17","182","182","177.7","178","-2.20 %","75,026.00"
"API","2023-08-16","183","184","178","182","-0.60 %","54,704.00"
"API","2023-08-15","186.5","188","183","183.1","-2.09 %","54,740.00"
"API","2023-08-14","190.7","190.7","186","187","0.00 %","41,863.00"
"API","2023-08-13","188","190.9","186","187","-1.06 %","39,544.00"
"API","2023-08-10","188.7","191.6","186.1","189","1.07 %","54,528.00"
"API","2023-08-09","186","188","183.1","187","0.54 %","50,217.00"
"API","2023-08-08","190","192","185","186","-2.05 %","65,044.00"
"API","2023-08-07","191","191.8","185.5","189.9","0.48 %","76,505.00"
"API","2023-08-06","192.2","193.8","188","189","-1.56 %","72,374.00"
"API","2023-08-03","194.5","195.6","191.2","192","-0.78 %","63,551.00"
"API","2023-08-02","196","196","192","193.5","-0.77 %","56,955.00"
"API","2023-08-01","197","199.5","193","195","-1.52 %","54,835.00"
"API","2023-07-31","200","200.9","196.1","198","0.05 %","47,449.00"
"API","2023-07-30","204.9","204.9","194.4","197.9","-1.54 %","140,157.00"
"API","2023-07-27","207.5","207.5","200","201","-1.95 %","101,123.00"
"API","2023-07-26","213.8","213.8","205","205","-2.84 %","89,914.00"
"API","2023-07-25","210","213","206","211","0.96 %","140,043.00"
"API","2023-07-24","205","213.5","200.1","209","3.47 %","253,696.00"
"API","2023-07-23","202","205","199","202","1.97 %","128,875.00"
"API","2023-07-20","200","201.5","195","198.1","0.05 %","88,593.00"
"API","2023-07-19","200","201","197","198","-1.49 %","75,349.00"
"API","2023-07-18","204","204","199.2","201","0.30 %","73,631.00"
"API","2023-07-17","200","202.9","197.5","200.4","1.73 %","93,444.00"
"API","2023-07-16","202","202","196.2","197","-1.01 %","51,262.00"
"API","2023-07-13","208","210","197","199","-2.45 %","126,946.00"
"API","2023-07-12","195","205.9","193","204","5.70 %","199,257.00"
"API","2023-07-11","194","197","192","193","-0.26 %","91,453.00"
"API","2023-07-10","199.9","200","193.2","193.5","-1.78 %","119,170.00"
"API","2023-07-09","195.9","205","194","197","2.53 %","226,615.00"
"API","2023-07-06","235.1","235.1","225.5","229","-0.65 %","329,037.00"
